# Author: xRuffKez
# This is a phishing list of newly registered domains. The list is part of my threat intelligence feed.
# Total domains: 247
# Newly added domains: 0
# Removed domains: 46
openall.online # Added: 2024-07-05; Last NS check: 2024-07-05
order-support.shop # Added: 2024-07-05; Last NS check: 2024-07-05
ows8uhdhsbcgvsdgvgcvsfbg.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
pancakeswap.fund # Added: 2024-07-05; Last NS check: 2024-07-05
pas77login.bond # Added: 2024-07-05; Last NS check: 2024-07-05
pas77login.cfd # Added: 2024-07-05; Last NS check: 2024-07-05
pas77login.click # Added: 2024-07-05; Last NS check: 2024-07-05
pas77login.icu # Added: 2024-07-05; Last NS check: 2024-07-05
pclogin.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
peersupportnashville.org # Added: 2024-07-05; Last NS check: 2024-07-05
pionbetloginrtp.bond # Added: 2024-07-05; Last NS check: 2024-07-05
play-google.bike # Added: 2024-07-05; Last NS check: 2024-07-05
plymouthwpbsupport.org # Added: 2024-07-05; Last NS check: 2024-07-05
polizeisupport.online # Added: 2024-07-05; Last NS check: 2024-07-05
postsupportx.cfd # Added: 2024-07-05; Last NS check: 2024-07-05
prime-loginamazn-aktualisiere.click # Added: 2024-07-05; Last NS check: 2024-07-05
prime-loginamazn-aktualisiere.icu # Added: 2024-07-05; Last NS check: 2024-07-05
prime-loginamazn-aktualisiere.sbs # Added: 2024-07-05; Last NS check: 2024-07-05
qqsdaswwwsdsdwwww.vip # Added: 2024-07-05; Last NS check: 2024-07-05
rosaamazonica.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
rosaamazonicadobrasil.online # Added: 2024-07-05; Last NS check: 2024-07-05
rosaamazonicadobrasil.store # Added: 2024-07-05; Last NS check: 2024-07-05
rosadobeauty.net # Added: 2024-07-05; Last NS check: 2024-07-05
rtpindogglogin.click # Added: 2024-07-05; Last NS check: 2024-07-05
rtpqq777login.buzz # Added: 2024-07-05; Last NS check: 2024-07-05
sh-dailylogin.info # Added: 2024-07-05; Last NS check: 2024-07-05
sh-dailylogin.live # Added: 2024-07-05; Last NS check: 2024-07-05
sh-dailylogin.pro # Added: 2024-07-05; Last NS check: 2024-07-05
shop-amazon.cyou # Added: 2024-07-05; Last NS check: 2024-07-05
sonic188login.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
suport-business-privatte-community.online # Added: 2024-07-05; Last NS check: 2024-07-05
suporteflix.xyz # Added: 2024-07-05; Last NS check: 2024-07-05
suportefy.online # Added: 2024-07-05; Last NS check: 2024-07-05
suportemax.online # Added: 2024-07-05; Last NS check: 2024-07-05
suportementorfy.online # Added: 2024-07-05; Last NS check: 2024-07-05
suporterevenda.online # Added: 2024-07-05; Last NS check: 2024-07-05
support-game.shop # Added: 2024-07-05; Last NS check: 2024-07-05
